date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:27	339036/339036	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/job-flyer/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/job-flyer/index.html	(from https://photoadking.com/templates/)
13:34:27	338907/338907	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/corporate/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/corporate/index.html	(from https://photoadking.com/templates/)
13:34:27	339000/339000	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/pizza/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/pizza/index.html	(from https://photoadking.com/templates/)
13:34:27	338802/338802	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/burger-flyer/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/burger-flyer/index.html	(from https://photoadking.com/templates/)
13:34:28	524680/524680	---M--	200	added ('OK')	image/png	etag:%2280188-5ca3390afe7ea%22	https://photoadking.com/images/gm-resources/internal_image.png	C:/scraped%20websites/photoadking/photoadking.com/images/gm-resources/internal_image.png	(from https://photoadking.com/create/online-graphic-maker/)
13:34:28	338922/338922	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/coming-soon/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/coming-soon/index.html	(from https://photoadking.com/templates/)
13:34:28	337505/337505	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/sales/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/sales/index.html	(from https://photoadking.com/templates/)
13:34:28	5441/5441	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec3-1541%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.1/imagesloaded.pkgd.min.js	C:/scraped%20websites/photoadking/cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.1/imagesloaded.pkgd.min.js	(from https://photoadking.com/create/online-graphic-maker/)
13:34:30	336132/336132	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/industrial-flyers/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/industrial-flyers/index.html	(from https://photoadking.com/templates/)
13:34:33	337739/337739	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/vintage/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/vintage/index.html	(from https://photoadking.com/templates/)
13:34:33	337159/337159	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/abstract-flyers/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/abstract-flyers/index.html	(from https://photoadking.com/templates/)
13:34:33	337721/337721	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/travel/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/travel/index.html	(from https://photoadking.com/templates/)
13:34:33	336596/336596	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/ecommerce-flyer/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/ecommerce-flyer/index.html	(from https://photoadking.com/templates/)
13:34:34	139546/139546	---MCZ	200	added ('OK')	text/css	etag:W/%22219fc-5cb4e4c7d6960-gzip%22	https://photoadking.com/css/new_style.css?v4.26	C:/scraped%20websites/photoadking/photoadking.com/css/new_styledb88.css	(from https://photoadking.com/create/video-templates/)
13:34:34	335953/335953	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/restaurant/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/restaurant/index.html	(from https://photoadking.com/templates/)
13:34:34	337876/337876	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/cleaning/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/cleaning/index.html	(from https://photoadking.com/templates/)
13:34:34	337453/337453	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/pressure-washing/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/pressure-washing/index.html	(from https://photoadking.com/templates/)
13:34:35	53776/53776	---M--	200	added ('OK')	text/html	etag:%22d210-5ca3390b34349%22	https://photoadking.com/images/vg-resources/video_maker.webp	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/video_maker.html	(from https://photoadking.com/create/video-templates/)
13:34:35	337189/337189	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/cricket/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/cricket/index.html	(from https://photoadking.com/templates/)
13:34:35	337783/337783	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/minimal/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/minimal/index.html	(from https://photoadking.com/templates/)
13:34:35	339201/339201	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/discount/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/discount/index.html	(from https://photoadking.com/templates/)
13:34:35	8444/8444	---M--	200	added ('OK')	text/html	etag:%2220fc-5ca3390b32409%22	https://photoadking.com/images/vg-resources/templates_icon.webp	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/templates_icon.html	(from https://photoadking.com/create/video-templates/)
13:34:35	344088/344088	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/summer-camp/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/summer-camp/index.html	(from https://photoadking.com/templates/)
13:34:36	336862/336862	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/hockey/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/hockey/index.html	(from https://photoadking.com/templates/)
13:34:36	337261/337261	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/solar/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/solar/index.html	(from https://photoadking.com/templates/)
13:34:36	11805/11805	---M--	200	added ('OK')	image/png	etag:%222e1d-5ca3390b32409%22	https://photoadking.com/images/vg-resources/templates_icon.png	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/templates_icon.png	(from https://photoadking.com/create/video-templates/)
13:34:36	337193/337193	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/football/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/football/index.html	(from https://photoadking.com/templates/)
13:34:36	337057/337057	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/boxing/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/boxing/index.html	(from https://photoadking.com/templates/)
13:34:36	8752/8752	---M--	200	added ('OK')	text/html	etag:%222230-5ca3390b333a9%22	https://photoadking.com/images/vg-resources/video_gallery.webp	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/video_gallery.html	(from https://photoadking.com/create/video-templates/)
13:34:37	337279/337279	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/cycling/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/cycling/index.html	(from https://photoadking.com/templates/)
13:34:37	337166/337166	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/running/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/running/index.html	(from https://photoadking.com/templates/)
13:34:37	12376/12376	---M--	200	added ('OK')	image/png	etag:%223058-5ca3390b333a9%22	https://photoadking.com/images/vg-resources/video_gallery.png	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/video_gallery.png	(from https://photoadking.com/create/video-templates/)
13:34:37	337239/337239	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/baseball/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/baseball/index.html	(from https://photoadking.com/templates/)
13:34:37	337234/337234	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/basketball/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/basketball/index.html	(from https://photoadking.com/templates/)
13:34:38	10304/10304	---M--	200	added ('OK')	text/html	etag:%222840-5ca3390b32409%22	https://photoadking.com/images/vg-resources/save_time_money.webp	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/save_time_money.html	(from https://photoadking.com/create/video-templates/)
13:34:38	337025/337025	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/wine/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/wine/index.html	(from https://photoadking.com/templates/)
13:34:38	337919/337919	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/valentines-day/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/valentines-day/index.html	(from https://photoadking.com/templates/)
13:34:38	336993/336993	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/wedding-flyers/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/wedding-flyers/index.html	(from https://photoadking.com/templates/)
13:34:39	337328/337328	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/technology-flyers/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/technology-flyers/index.html	(from https://photoadking.com/templates/)
13:34:39	14771/14771	---M--	200	added ('OK')	image/png	etag:%2239b3-5ca3390b32409%22	https://photoadking.com/images/vg-resources/save_time_money.png	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/save_time_money.png	(from https://photoadking.com/create/video-templates/)
13:34:39	338173/338173	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/lawn-care/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/lawn-care/index.html	(from https://photoadking.com/templates/)
13:34:39	343218/343218	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/non-profit/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/non-profit/index.html	(from https://photoadking.com/templates/)
